地点,薪资,职位,岗位需求
北京-海淀区,15K-25K,中高级Java开发工程师,"岗位职责：负责呱呱财经后台系统开发，涉及到：图文，问答，拜师，直播，短信平台，业务代理，cdn管理，配置后台，权限管理，讲师体系，消息系统，优惠券系统，计费，结算……等项目。任职要求：1、本科学历,专业不限,5年以上 Java 开发经验2、近两年的工作里都在使用Spring、SpringMVC、mybaits、redis、rocketmq、Dubbo+zookeeper、mysql、Maven、Nginx开发互联网相关项目3、熟悉java语言.有项目中使用分布式、缓存、消息、搜索、负载均衡等机制的经验；4 . 有一定前端能力如Prototype，Jquery是加分项5、具备良好的分析解决问题能力，非常良好的编程及测试习惯(加分项)，工作积极主动."
北京,15K-20K,java开发工程师,本科或以上学历，计算机相关专业，有三年以上JAVA开发经验。具有良好的Java基础知识，熟悉Java常用数据结构。熟悉主流开源框架，如：Spring、Spring Boot、SpringMVC、Spring Cloud、Mybatis/Hibernate。熟悉分布式系统的机制和应用，如：Redis、Zookeeper等。至少熟悉一种消息队列，如：RabbitMQ 或者 ActiveMQ。精通 MySQL 应用开发，熟悉数据库原理和常用性能优化技术。了解常用NoSQL的原理、使用场景以及限制，如：MongoDB。良好的沟通能力及团队合作精神，责任心强。熟悉规范化的软件开发过程，熟悉单元测试相关技术。有工作流开发经验者优先。有ERP经验者优先。有互联网研发经验，架构经验者优先。
太原,3K-6K,java软件工程师,"计算机或相关学科·2年以上JAVA开发经验·能够完成开发项目的需求分析，数据库设计，详细设计·拥有开发多层架构的产品经验·JAVA服务器端开发经验: JSP, JavaEE, SSH·熟悉客户端脚本： HTML, Javascript, AJAX, CSS·熟悉后台数据库的构造、调用、以及数据查询的性能优化·良好的学习能力, 思维敏捷, 喜欢钻研, 工作勤奋主动, 善于合作，高度的敬业精神和团队合作意识。工作时间：周一至周五，每日7小时。早9：00-12:00，下午2:30-6:30。"
北京,10K-18K,Java开发工程师（支付方向）,岗位职责：1、负责本公司互联网金融产品的需求分析与产品规划；2、负责本公司交易收单、核心清算、运营支撑、账务会计等系统的优化与升级；3、负责本公司的软件产品设计、开发和项目管理；4、负责与客户和银行沟通、协调。任职要求：1、大学本科及以上学历，计算机、信息系统、电子商务等相关专业；2、2年以上商业软件开发和管理经验；3、精通Java语言，精通Spring等开源框架，有系统架构工作经验；4、熟悉Oracle数据库服务器，熟悉Unix/Linux操作系统；5、良好的沟通能力和团队合作精神；6、具有金融行业、支付行业从业经历者优先。7、加分项：zookeeper、redis、kafka等。
西安-高新技术产业开发区,8K-10K,java中级工程师,岗位职责：1，参与项目的需求分析，完成相关的技术文档2，负责项目中业务功能接口和基础类库的设计，解决项目中的关键问题和技术难题，确保产品的质量和安全；3，根据技术文档独立完成编码5，维护公司现有项目的正常运行任职要求1，计算机相关专业毕业，3年以上实际工作经验2，掌握java web开发相关知识3，掌握spring，spring mvc，mybatis，hibernate，spring data jpa，spring boot等开源框架4，熟悉mysql，oracle等关系数据库，有调优经验者优先5，熟悉redis nosql数据库6，熟悉前端技术，有较为扎实的javascript基础知识，熟悉JQuery等前端框架，能熟练接入前端插件7，熟悉freemarker等前端模板8，熟悉项目部署，熟悉tomcat和nginx等9，能熟练使用maven，有maven构建经验加分项1，分布式开发经验2，有高校项目开发经验优先
上海,薪资面议,信息技术部-JAVA系统开发岗,岗位职责：1. 根据公司业务需要，负责公司项目的开发。负责对现有系统的升级优化，二次开发变更；2. 协助系统架构岗完成界面交互、应用架构、集成架构等专项架构设计和落地执行；3. 协助系统架构岗完成系统功能模块设计；4. 协助项目经理确定项目开发周期及人员安排；5. 协助监控项目开发质量和成本控制；6. 当开发工作外包时，对外包项目进行项目管理，确保项目质量；7. 协助需求调研与分析、系统测试、最终用户培训、系统推广等工作；8. 完成功能模块的代码编写，单元测试，维护升级，代码入库；9. 完成相关技术文档的编写和管理；10. 协同部门其他成员完成服务器端的环境搭建和整体优化；11. 根据应用系统需要，提出对基础设施的使用需求。任职要求：1. 大学本科及以上学历，计算机、数学物理、信息管理等专业优先；2. 三年以上信息技术从业经验，两年以上java开发经验；3. 信息技术相关证书；4. 熟悉相关开发技术（JAVA等）。熟悉各项中间件（Tomcat/Weblogic/Apache等）。5. 良好的职业道德素质、较强的沟通协调能力、正直诚信。对常用数据库有一定了解。
长沙-开福区,4K-6K, JAVA程序开发助理+双休,"岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、协助测试工程师制定测试计划，定位发现的问题；6、配合项目经理完成相关任务目标。任职资格：1、喜欢计算机相关行业。2、有责任感，团队意识强，有较好的学习能力者；3、能熟练运用计算机基本操作；4、渴望能有一项扎实的技术，一份稳定的工作的有志青年；公司福利：1、薪酬福利：为员工提供富有竞争力的薪酬体系并每年对员工进行年度薪酬调整。2、社会保险：五险一金3、晋升机制：公司设立良好的晋升机制并提供内部招聘、职位轮换机会。4、成长与职业发展：人力资源部为所有岗位建立了成长模式和职业发展通道，并以顾问形式为员工提供成长建议。5、节日贺礼：公司在传统佳节派发节日礼品以增添节日气氛。6、生日派对：员工过生日公司生日派对及贺卡以表祝福7、公司给予员工生活关怀，公司设有茶水间，员工休息室，提供微波炉，冰箱等。面试地址：长沙开福区芙蓉中路一段458号平安大厦7楼人事部周一至周五9：00-17:00均可面试工作时间：早上9:00到晚上17:00，周末双休"
长春,4K-8K,java开发工程师（职业教育事业部）,岗位职责：1、负责JAVA新项目功能开发；2、负责项目的维护和升级；3、负责解决开发过程中的技术问题；4、负责配合编写开发文档工作；5、统一代码风格、落实测试、确保代码质量；任职要求：1、本科以上学历，计算机相关专业；2、二年以上实际JAVA软件项目开发工作经验，二年以上web开发经验优先；3、至少熟悉JAVA，SpringMVC；4、至少熟悉一种数据库技术如Oracle/SQLServer/Mysql等，能熟练进行软件界面开发以及维护升级；5、具备良好的文档编制习惯和代码书写规范；6、思路清晰，善于思考、责任心强，工作踏实，肯于学习，具有良好的团队精神和沟通能力。
天津,10K-20K,JAVA架构/高级Java,岗位职责：1、负责项目需求调研、分析、确认工作；2、规划项目研发和实施进度安排，并落实进度计划执行；3、全面监控项目开发质量、进度和成本控制；4、负责与乙方开发人员进行沟通，项目质量监督，保证项目正常有序的进行；5、负责项目团队工作分配、人员培训和绩效考核；6、负责核心功能模块的开发与架构；岗位要求：1、 熟悉JAVA软件开发的流程和项目实施经验，有大中型项目的开发和实施经验，能够胜任项目管理工作，5年以上JAVA开发经验，2、熟悉项目管理、软件研发过程管理，具有较强的需求分析和设计能力；3、数练使用ssm、ssh等主流框架及各种web开发工具；熟练掌握mysql等数据库; 熟练使用tomcat使用及集群安装；4、对架构设计有深刻的理解，处理过高性能，高并发的网站优化5、电商项目及各种后端管理平台经验优先；6、良好的敬业精神及团队合作精神；7、良好的沟通协调能力和责任心；
济南,6K-8K,Java中级工程师,"岗位职责 1.按照设计和规范进行软件编码工作；2.应用Java等相关技术路线实现业务逻辑的开发和实现；3.应用互联网典型技术，对系统进行改善优化；4.负责客户需求的实现和问题解决；5.完成上级安排的其他工作。任职要求1.计算机相关专业，正规院校大专（含）以上学历；2.2年以上专业从业经历；具备一定的独立开发能力，能够胜任开发组织中的一个或多个角色；3.精通JavaScript,有使用Jquery等js框架的经验；4.有使用vue框架的前端经验者优先；5.精通Java体系；6.熟练使用MySql、Oracle 等关系型数据库，熟悉SQL语句。"
